NOMBRE,CLAVE_MUNICIPAL,CVE_ENTIDAD,CVEGEO,Latitude,Longitude
Tlalpan,12,9,9012,19.19833968,-99.2062208
Venustiano Carranza,17,9,9017,19.43049545,-99.0931058
Azcapotzalco,2,9,9002,19.48532861,-99.18210694
Iztapalapa,7,9,9007,19.34916632,-99.05679896
Iztacalco,6,9,9006,19.3969119,-99.0943298
Miguel Hidalgo,16,9,9016,19.42806236,-99.20456691
La Magdalena Contreras,8,9,9008,19.2689765,-99.26841291
Coyoac·n,3,9,9003,19.32666725,-99.15037635
Milpa Alta,9,9,9009,19.1394566,-99.05109542
CuauhtÈmoc,11,9,9011,19.43137343,-99.14905576
√Ålvaro ObregÛn,14,9,9014,19.33617556,-99.24681971
Xochimilco,4,9,9004,19.24514505,-99.0903636
Tl·huac,5,9,9005,19.27699838,-99.00282161
Benito Ju·rez,15,9,9015,19.38064242,-99.16113466
Cuajimalpa de Morelos,10,9,9010,19.3246343,-99.31072853
Gustavo A. Madero,13,9,9013,19.50406521,-99.11586421
